,Job Name,company_name,location,Job Post,Salary
51,Corporate Sales Executive,Jatin Glass Company,Chandigarh,2 weeks ago,"₹ 2,00,000 - 2,25,000                                        

                                        ₹ 2,00,000 - 2,25,000 /year"
52,Junior Interior Designer,G2Design Interior,Pune,3 weeks ago,"₹ 2,40,000 - 2,80,000                                        

                                        ₹ 2,40,000 - 2,80,000 /year"
53,Academic Associate - Finance,Midha Education Private Limited,Ranchi,1 week ago,"₹ 4,00,000                                        

                                        ₹ 4,00,000 /year"
54,Behavioural Therapist,Leap Skills,Pune,7 days ago,"₹ 2,00,000                                        

                                        ₹ 2,00,000 /year"
55,Operations Manager (Procurement),BioFics Private Limited,Surat,"6 days ago


Be an early applicant","₹ 2,16,000 - 2,50,000                                        

                                        ₹ 2,16,000 - 2,50,000 /year"
56,Junior Travel & Tourism Executive,Bulls Travelism Private Limited,Delhi,3 days ago,"₹ 2,00,000 - 4,00,000                                        

                                        ₹ 2,00,000 - 4,00,000 /year"
57,SEO Executive,Hiigher®,Indore,"2 days ago


Be an early applicant","₹ 2,00,000 - 3,50,000                                        

                                        ₹ 2,00,000 - 3,50,000 /year"
58,Field Sales Executive,QuickSort Solutions,Pune,2 weeks ago,"₹ 2,00,000 - 3,50,000                                        

                                        ₹ 2,00,000 - 3,50,000 /year"
59,Online English Faculty,PlanetSpark,Lucknow,"3 weeks ago


Be an early applicant","₹ 3,00,000                                        

                                        ₹ 3,00,000 /year"
60,Inside Sales Executive,NoBroker Technologies Solutions Private Limited,Bangalore,3 weeks ago,"₹ 2,00,000 - 2,40,000                                        

                                        ₹ 2,00,000 - 2,40,000 /year"
61,Executive - Content Operations (Contractual),Saregama India Limited,Mumbai,3 weeks ago,"₹ 3,00,000 - 4,00,000                                        

                                        ₹ 3,00,000 - 4,00,000 /year"
62,Trainee Engineer_Civil (only Freshers),NoBroker Technologies Solutions Private Limited,Bangalore,3 weeks ago,"₹ 4,80,000                                        

                                        ₹ 4,80,000 /year"
63,Junior Mechanical Engineer,ASMACS Skill Development Limited,Mumbai,3 weeks ago,"₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
64,Video Editor,ASMACS Skill Development Limited,Mumbai,3 weeks ago,"₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
65,Junior Recruitment Executive,ASMACS Skill Development Limited,Mumbai,2 weeks ago,"₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
66,Junior Recruiter,ASMACS Skill Development Limited,Mumbai,2 weeks ago,"₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
67,Telecaller,ASMACS Skill Development Limited,Mumbai,"2 weeks ago


Be an early applicant","₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
68,Corporate Sales Executive,ASMACS Skill Development Limited,Mumbai,"2 weeks ago


Be an early applicant","₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
69,Digital Marketing Executive,ASMACS Skill Development Limited,Mumbai,2 weeks ago,"₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
70,Corporate Sales Executive,NoBroker Technologies Solutions Private Limited,Bangalore,2 weeks ago,"₹ 2,00,000 - 2,50,000                                        

                                        ₹ 2,00,000 - 2,50,000 /year"
71,Corporate Sales Executive,QuickSort Solutions,Mumbai,2 weeks ago,"₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
72,Animator,Saregama India Limited,Mumbai,2 weeks ago,"₹ 2,00,000 - 2,16,000                                        

                                        ₹ 2,00,000 - 2,16,000 /year"
73,Data Entry Executive,ASMACS Skill Development Limited,Mumbai,2 weeks ago,"₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
74,Customer Service Executive,QuickSort Solutions,Navi Mumbai,2 weeks ago,"₹ 2,00,000 - 2,50,000                                        

                                        ₹ 2,00,000 - 2,50,000 /year"
75,Video Editor,Saregama India Limited,Mumbai,2 weeks ago,"₹ 2,00,000 - 2,40,000                                        

                                        ₹ 2,00,000 - 2,40,000 /year"
76,Customer Service Executive,QuickSort Solutions,Gurgaon,2 weeks ago,"₹ 2,50,000 - 4,00,000                                        

                                        ₹ 2,50,000 - 4,00,000 /year"
77,Online English Tutor,PlanetSpark,Work from home,2 weeks ago,"₹ 3,00,000 - 5,00,000                                        

                                        ₹ 3,00,000 - 5,00,000 /year"
78,Junior Software Developer,ASMACS Skill Development Limited,Mumbai,2 weeks ago,"₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
79,Compliance Operations Analyst,Media.net,Mumbai,2 weeks ago,"₹ 3,00,000 - 3,00,001                                        

                                        ₹ 3,00,000 - 3,00,001 /year"
80,Associate Creative Writer,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Delhi,2 weeks ago,"₹ 3,00,000 - 3,60,000                                        

                                        ₹ 3,00,000 - 3,60,000 /year"
81,Corporate Sales Trainee,NoBroker Technologies Solutions Private Limited,Work from home,1 week ago,"₹ 2,00,000 - 2,01,000                                        

                                        ₹ 2,00,000 - 2,01,000 /year"
82,Corporate Sales Associate,QuickSort Solutions,Gurgaon,1 week ago,"₹ 2,00,000 - 3,50,000                                        

                                        ₹ 2,00,000 - 3,50,000 /year"
